epoch  recon    pos1     pos2     attn     div      hit      lr_enc   lr_read  scaff
   65  0.0118  0.1640  0.2137  -0.1356  0.1607  0.4047  0.000089  0.000892  0.6800
   66  0.0118  0.1643  0.2114  -0.1357  0.1604  0.4063  0.000089  0.000889  0.6750
   67  0.0118  0.1529  0.1948  -0.1362  0.1603  0.4031  0.000089  0.000885  0.6700
   68  0.0119  0.1611  0.2093  -0.1368  0.1612  0.4075  0.000088  0.000882  0.6650
   69  0.0119  0.1464  0.1904  -0.1369  0.1608  0.4074  0.000088  0.000878  0.6600
   70  0.0119  0.1496  0.1864  -0.1373  0.1603  0.4088  0.000088  0.000875  0.6550
   71  0.0117  0.1487  0.1845  -0.1378  0.1611  0.4063  0.000087  0.000872  0.6500
   72  0.0117  0.1362  0.1839  -0.1379  0.1614  0.4062  0.000087  0.000868  0.6450
   73  0.0117  0.1332  0.1767  -0.1384  0.1610  0.4022  0.000086  0.000864  0.6400
   74  0.0117  0.1310  0.1601  -0.1386  0.1601  0.4015  0.000086  0.000861  0.6350
   75  0.0117  0.1385  0.1904  -0.1391  0.1600  0.4018  0.000086  0.000857  0.6300
   76  0.0118  0.1306  0.1641  -0.1396  0.1602  0.3999  0.000085  0.000854  0.6250
   77  0.0117  0.1258  0.1408  -0.1398  0.1612  0.4047  0.000085  0.000850  0.6200
   78  0.0116  0.1108  0.1456  -0.1403  0.1618  0.4114  0.000085  0.000846  0.6150
   79  0.0115  0.1052  0.1354  -0.1405  0.1608  0.4045  0.000084  0.000842  0.6100
   80  0.0115  0.0992  0.1261  -0.1410  0.1605  0.4051  0.000084  0.000838  0.6050
   81  0.0115  0.0946  0.1253  -0.1414  0.1610  0.4030  0.000083  0.000835  0.6000
   82  0.0115  0.0923  0.1108  -0.1415  0.1608  0.4028  0.000083  0.000831  0.5950
   83  0.0117  0.0893  0.1083  -0.1421  0.1603  0.4040  0.000083  0.000827  0.5900
   84  0.0117  0.0908  0.1118  -0.1426  0.1613  0.4101  0.000082  0.000823  0.5850
   85  0.0117  0.0914  0.1158  -0.1430  0.1616  0.4061  0.000082  0.000819  0.5800
   86  0.0116  0.0875  0.1000  -0.1432  0.1611  0.4013  0.000081  0.000815  0.5750
   87  0.0115  0.0854  0.0878  -0.1433  0.1606  0.4024  0.000081  0.000811  0.5700
   88  0.0116  0.0751  0.0864  -0.1440  0.1610  0.4053  0.000081  0.000806  0.5650
   89  0.0116  0.0732  0.0760  -0.1443  0.1611  0.4071  0.000080  0.000802  0.5600
   90  0.0118  0.0694  0.0860  -0.1444  0.1607  0.4032  0.000080  0.000798  0.5550
   91  0.0125  0.0663  0.0834  -0.1449  0.1603  0.4053  0.000079  0.000794  0.5500
   92  0.0120  0.0586  0.0679  -0.1451  0.1609  0.4067  0.000079  0.000790  0.5450
   93  0.0116  0.0577  0.0670  -0.1456  0.1611  0.4066  0.000079  0.000785  0.5400
   94  0.0117  0.0523  0.0627  -0.1459  0.1611  0.4032  0.000078  0.000781  0.5350
   95  0.0115  0.0474  0.0543  -0.1464  0.1616  0.4037  0.000078  0.000777  0.5300
   96  0.0115  0.0478  0.0541  -0.1467  0.1608  0.4044  0.000077  0.000772  0.5250
   97  0.0114  0.0493  0.0584  -0.1471  0.1605  0.4056  0.000077  0.000768  0.5200
   98  0.0113  0.0434  0.0511  -0.1473  0.1605  0.4060  0.000076  0.000763  0.5150
   99  0.0113  0.0402  0.0478  -0.1479  0.1606  0.4033  0.000076  0.000759  0.5100
  100  0.0112  0.0411  0.0455  -0.1482  0.1610  0.4046  0.000075  0.000755  0.5050
  101  0.0112  0.0402  0.0639  -0.1487  0.1614  0.4037  0.000075  0.000750  0.5000
  102  0.0112  0.0456  0.0486  -0.1487  0.1609  0.4039  0.000075  0.000745  0.4950
  103  0.0114  0.0486  0.0660  -0.1492  0.1605  0.4069  0.000074  0.000741  0.4900
  104  0.0113  0.0457  0.0519  -0.1493  0.1600  0.4092  0.000074  0.000736  0.4850
  105  0.0111  0.0389  0.0355  -0.1498  0.1613  0.4033  0.000073  0.000732  0.4800
  106  0.0110  0.0357  0.0484  -0.1504  0.1622  0.4013  0.000073  0.000727  0.4750
