epoch  recon    pos1     pos2     attn     div      hit      lr_enc   lr_read  scaff
  283  0.0018  0.0008  0.0005  -0.1872  0.1688  0.4057  0.000001  0.000078  0.0000
  284  0.0018  0.0007  0.0005  -0.1869  0.1688  0.4041  0.000001  0.000070  0.0000
  285  0.0018  0.0008  0.0005  -0.1870  0.1687  0.4043  0.000001  0.000062  0.0000
  286  0.0018  0.0008  0.0005  -0.1871  0.1688  0.4036  0.000001  0.000054  0.0000
  287  0.0017  0.0008  0.0005  -0.1870  0.1687  0.4031  0.000000  0.000048  0.0000
  288  0.0017  0.0007  0.0005  -0.1870  0.1687  0.4042  0.000000  0.000041  0.0000
  289  0.0017  0.0008  0.0005  -0.1872  0.1687  0.4036  0.000000  0.000035  0.0000
  290  0.0017  0.0008  0.0005  -0.1868  0.1687  0.4022  0.000000  0.000030  0.0000
  291  0.0017  0.0007  0.0005  -0.1872  0.1687  0.4032  0.000000  0.000024  0.0000
  292  0.0017  0.0007  0.0005  -0.1870  0.1686  0.4036  0.000000  0.000020  0.0000
  293  0.0017  0.0008  0.0005  -0.1872  0.1687  0.4023  0.000000  0.000016  0.0000
  294  0.0017  0.0007  0.0005  -0.1870  0.1688  0.4022  0.000000  0.000012  0.0000
  295  0.0017  0.0008  0.0005  -0.1868  0.1687  0.4036  0.000000  0.000009  0.0000
  296  0.0017  0.0008  0.0005  -0.1871  0.1687  0.4045  0.000000  0.000006  0.0000
  297  0.0017  0.0007  0.0005  -0.1872  0.1688  0.4034  0.000000  0.000004  0.0000
  298  0.0017  0.0007  0.0005  -0.1870  0.1687  0.4033  0.000000  0.000002  0.0000
  299  0.0017  0.0008  0.0005  -0.1871  0.1687  0.4040  0.000000  0.000001  0.0000
  300  0.0017  0.0008  0.0005  -0.1869  0.1687  0.4035  0.000000  0.000000  0.0000
