epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit   lr_attn    lr_cls  lr_rcon    scaff  time
  159  0.0037  0.0839  0.0755  0.0971  0.0521  -0.1346  -0.2362  0.1086  0.0550  0.0222  0.4141  0.000071  0.000708  0.000708  0.0000  391.8s
  160  0.0037  0.1214  0.0784  0.0749  0.0720  -0.1346  -0.2363  0.1091  0.0526  0.0270  0.4143  0.000069  0.000686  0.000686  0.0000  325.4s
  161  0.0037  0.0958  0.0691  0.0746  0.0926  -0.1346  -0.2363  0.1092  0.0480  0.0168  0.4130  0.000066  0.000664  0.000664  0.0000  305.8s
  162  0.0036  0.0400  0.0480  0.0512  0.0258  -0.1348  -0.2365  0.1097  0.0389  0.0215  0.4180  0.000064  0.000641  0.000641  0.0000  320.1s
  163  0.0036  0.0654  0.0541  0.0590  0.0536  -0.1347  -0.2365  0.1099  0.0461  0.0257  0.4161  0.000062  0.000618  0.000618  0.0000  320.6s
  164  0.0036  0.0661  0.0437  0.0541  0.0492  -0.1346  -0.2364  0.1095  0.0438  0.0142  0.4166  0.000059  0.000595  0.000595  0.0000  308.5s
  165  0.0035  0.0218  0.0185  0.0245  0.0136  -0.1349  -0.2366  0.1095  0.0296  0.0237  0.4238  0.000057  0.000571  0.000571  0.0000  308.4s
  166  0.0035  0.0191  0.0253  0.0244  0.0177  -0.1349  -0.2366  0.1090  0.0266  0.0181  0.4231  0.000055  0.000548  0.000548  0.0000  320.2s
  167  0.0035  0.0099  0.0058  0.0151  0.0056  -0.1349  -0.2367  0.1095  0.0223  0.0081  0.4250  0.000052  0.000524  0.000524  0.0000  308.9s
  168  0.0035  0.0073  0.0067  0.0157  0.0043  -0.1349  -0.2365  0.1085  0.0236  0.0098  0.4252  0.000050  0.000500  0.000500  0.0000  307.0s
  169  0.0035  0.0110  0.0065  0.0102  0.0063  -0.1349  -0.2367  0.1097  0.0215  0.0092  0.4220  0.000048  0.000476  0.000476  0.0000  314.6s
  170  0.0035  0.0088  0.0081  0.0110  0.0088  -0.1349  -0.2367  0.1095  0.0234  0.0051  0.4243  0.000045  0.000452  0.000452  0.0000  315.8s
  171  0.0035  0.0057  0.0061  0.0094  0.0044  -0.1349  -0.2367  0.1090  0.0194  0.0089  0.4253  0.000043  0.000429  0.000429  0.0000  309.6s
  172  0.0035  0.0059  0.0039  0.0103  0.0038  -0.1349  -0.2367  0.1095  0.0187  0.0072  0.4252  0.000041  0.000405  0.000405  0.0000  311.1s
  173  0.0035  0.0079  0.0041  0.0086  0.0050  -0.1349  -0.2367  0.1093  0.0168  0.0153  0.4273  0.000038  0.000382  0.000382  0.0000  327.8s
  174  0.0035  0.0060  0.0027  0.0066  0.0025  -0.1349  -0.2367  0.1091  0.0130  0.0095  0.4291  0.000036  0.000359  0.000359  0.0000  318.5s
  175  0.0035  0.0064  0.0041  0.0058  0.0028  -0.1349  -0.2368  0.1093  0.0129  0.0072  0.4292  0.000034  0.000336  0.000336  0.0000  322.0s
  176  0.0035  0.0066  0.0043  0.0064  0.0035  -0.1349  -0.2368  0.1093  0.0129  0.0067  0.4277  0.000031  0.000314  0.000314  0.0000  316.8s
  177  0.0035  0.0039  0.0030  0.0053  0.0025  -0.1349  -0.2368  0.1092  0.0135  0.0194  0.4292  0.000029  0.000292  0.000292  0.0000  301.6s
  178  0.0035  0.0042  0.0029  0.0048  0.0023  -0.1349  -0.2367  0.1091  0.0146  0.0247  0.4284  0.000027  0.000271  0.000271  0.0000  314.1s
  179  0.0035  0.0038  0.0027  0.0047  0.0021  -0.1349  -0.2368  0.1091  0.0156  0.0118  0.4297  0.000025  0.000250  0.000250  0.0000  316.6s
  180  0.0035  0.0056  0.0031  0.0049  0.0022  -0.1349  -0.2368  0.1092  0.0148  0.0081  0.4280  0.000023  0.000230  0.000230  0.0000  315.6s
  181  0.0035  0.0039  0.0029  0.0051  0.0023  -0.1349  -0.2368  0.1089  0.0159  0.0066  0.4289  0.000021  0.000210  0.000210  0.0000  314.0s
  182  0.0035  0.0056  0.0052  0.0075  0.0048  -0.1349  -0.2368  0.1097  0.0226  0.0101  0.4261  0.000019  0.000191  0.000191  0.0000  322.6s
  183  0.0035  0.0046  0.0041  0.0055  0.0028  -0.1349  -0.2367  0.1088  0.0203  0.0194  0.4280  0.000017  0.000173  0.000173  0.0000  315.9s
  184  0.0035  0.0054  0.0114  0.0101  0.0059  -0.1349  -0.2367  0.1088  0.0269  0.0114  0.4292  0.000015  0.000155  0.000155  0.0000  311.7s
  185  0.0035  0.0046  0.0038  0.0046  0.0026  -0.1349  -0.2368  0.1094  0.0181  0.0088  0.4277  0.000014  0.000138  0.000138  0.0000  314.9s
  186  0.0035  0.0035  0.0036  0.0039  0.0023  -0.1350  -0.2368  0.1091  0.0155  0.0070  0.4284  0.000012  0.000122  0.000122  0.0000  313.8s
  187  0.0035  0.0031  0.0028  0.0035  0.0022  -0.1349  -0.2368  0.1092  0.0136  0.0136  0.4292  0.000011  0.000107  0.000107  0.0000  309.1s
  188  0.0035  0.0034  0.0035  0.0030  0.0022  -0.1349  -0.2368  0.1089  0.0135  0.0105  0.4289  0.000009  0.000093  0.000093  0.0000  311.5s
  189  0.0034  0.0033  0.0027  0.0032  0.0021  -0.1349  -0.2368  0.1090  0.0124  0.0067  0.4302  0.000008  0.000079  0.000079  0.0000  315.5s
  190  0.0034  0.0033  0.0030  0.0028  0.0020  -0.1350  -0.2368  0.1091  0.0124  0.0066  0.4303  0.000007  0.000067  0.000067  0.0000  305.2s
  191  0.0034  0.0030  0.0027  0.0031  0.0019  -0.1350  -0.2368  0.1088  0.0116  0.0063  0.4303  0.000006  0.000056  0.000056  0.0000  317.2s
  192  0.0034  0.0030  0.0023  0.0030  0.0020  -0.1350  -0.2368  0.1090  0.0119  0.0076  0.4301  0.000005  0.000045  0.000045  0.0000  320.5s
  193  0.0034  0.0028  0.0024  0.0030  0.0019  -0.1350  -0.2368  0.1091  0.0118  0.0109  0.4303  0.000004  0.000036  0.000036  0.0000  309.8s
  194  0.0034  0.0028  0.0022  0.0029  0.0019  -0.1350  -0.2368  0.1090  0.0115  0.0106  0.4305  0.000003  0.000027  0.000027  0.0000  315.5s
  195  0.0034  0.0027  0.0021  0.0028  0.0019  -0.1350  -0.2368  0.1090  0.0119  0.0068  0.4304  0.000002  0.000020  0.000020  0.0000  318.3s
  196  0.0034  0.0027  0.0021  0.0028  0.0018  -0.1350  -0.2368  0.1090  0.0115  0.0085  0.4307  0.000001  0.000014  0.000014  0.0000  313.9s
  197  0.0034  0.0027  0.0020  0.0028  0.0019  -0.1349  -0.2368  0.1090  0.0116  0.0047  0.4303  0.000001  0.000009  0.000009  0.0000  314.5s
  198  0.0034  0.0026  0.0020  0.0027  0.0018  -0.1349  -0.2368  0.1090  0.0116  0.0074  0.4304  0.000001  0.000005  0.000005  0.0000  315.9s
  199  0.0034  0.0026  0.0020  0.0028  0.0018  -0.1349  -0.2368  0.1090  0.0115  0.0050  0.4303  0.000000  0.000002  0.000002  0.0000  311.3s
  200  0.0034  0.0026  0.0020  0.0027  0.0018  -0.1349  -0.2368  0.1090  0.0116  0.0082  0.4301  0.000000  0.000001  0.000001  0.0000  314.3s
