epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
  171  0.0036  0.0041  0.0165  0.0082  0.0020  -0.1323  -0.2166  0.1022  0.1578  1.2240  0.3421  0.000043  0.000429  0.0000  128.4s
  172  0.0036  0.0026  0.0105  0.0081  0.0050  -0.1323  -0.2163  0.1022  0.1606  0.9501  0.3412  0.000041  0.000405  0.0000  128.6s
  173  0.0036  0.0110  0.0044  0.0070  0.0012  -0.1323  -0.2168  0.1024  0.1595  1.1987  0.3400  0.000038  0.000382  0.0000  128.5s
  174  0.0035  0.0085  0.0020  0.0100  0.0015  -0.1323  -0.2166  0.1019  0.1593  1.2817  0.3383  0.000036  0.000359  0.0000  128.3s
  175  0.0035  0.0033  0.0018  0.0015  0.0017  -0.1323  -0.2170  0.1012  0.1534  0.9714  0.3399  0.000034  0.000336  0.0000  128.4s
  176  0.0035  0.0022  0.0012  0.0014  0.0009  -0.1323  -0.2174  0.1014  0.1503  0.9061  0.3401  0.000031  0.000314  0.0000  128.5s
  177  0.0035  0.0021  0.0019  0.0032  0.0098  -0.1323  -0.2173  0.1012  0.1482  1.0928  0.3380  0.000029  0.000292  0.0000  128.4s
  178  0.0035  0.0035  0.0035  0.0042  0.0148  -0.1324  -0.2176  0.1015  0.1457  0.9943  0.3405  0.000027  0.000271  0.0000  128.5s
  179  0.0035  0.0023  0.0009  0.0029  0.0013  -0.1323  -0.2179  0.1017  0.1481  1.2247  0.3396  0.000025  0.000250  0.0000  128.6s
  180  0.0035  0.0038  0.0018  0.0035  0.0011  -0.1323  -0.2180  0.1017  0.1459  1.2244  0.3410  0.000023  0.000230  0.0000  129.9s
  181  0.0035  0.0026  0.0014  0.0028  0.0010  -0.1324  -0.2179  0.1011  0.1437  1.1338  0.3393  0.000021  0.000210  0.0000  129.2s
  182  0.0035  0.0017  0.0012  0.0042  0.0053  -0.1323  -0.2180  0.1004  0.1410  1.1074  0.3373  0.000019  0.000191  0.0000  128.7s
  183  0.0035  0.0016  0.0015  0.0010  0.0009  -0.1323  -0.2182  0.1007  0.1418  0.9863  0.3374  0.000017  0.000173  0.0000  128.5s
  184  0.0035  0.0017  0.0016  0.0039  0.0068  -0.1323  -0.2183  0.1011  0.1429  0.9539  0.3383  0.000015  0.000155  0.0000  129.9s
  185  0.0035  0.0020  0.0023  0.0023  0.0010  -0.1324  -0.2184  0.1010  0.1442  1.1443  0.3362  0.000014  0.000138  0.0000  130.0s
  186  0.0035  0.0018  0.0005  0.0011  0.0074  -0.1324  -0.2185  0.1008  0.1420  1.0842  0.3368  0.000012  0.000122  0.0000  129.6s
  187  0.0035  0.0021  0.0013  0.0025  0.0007  -0.1324  -0.2186  0.1009  0.1410  0.9772  0.3375  0.000011  0.000107  0.0000  130.1s
  188  0.0035  0.0019  0.0039  0.0015  0.0016  -0.1324  -0.2188  0.1012  0.1402  1.2184  0.3358  0.000009  0.000093  0.0000  130.3s
  189  0.0035  0.0018  0.0019  0.0014  0.0008  -0.1323  -0.2189  0.1011  0.1400  0.8099  0.3345  0.000008  0.000079  0.0000  133.2s
  190  0.0035  0.0016  0.0005  0.0014  0.0257  -0.1324  -0.2189  0.1008  0.1396  1.0705  0.3351  0.000007  0.000067  0.0000  133.5s
  191  0.0035  0.0015  0.0006  0.0011  0.0253  -0.1324  -0.2189  0.1008  0.1391  1.1209  0.3358  0.000006  0.000056  0.0000  132.2s
  192  0.0035  0.0013  0.0006  0.0007  0.0060  -0.1324  -0.2190  0.1008  0.1386  0.9639  0.3361  0.000005  0.000045  0.0000  132.0s
  193  0.0035  0.0015  0.0050  0.0013  0.0089  -0.1324  -0.2190  0.1007  0.1389  1.0273  0.3360  0.000004  0.000036  0.0000  133.5s
  194  0.0034  0.0015  0.0005  0.0007  0.0008  -0.1324  -0.2191  0.1009  0.1383  1.2413  0.3353  0.000003  0.000027  0.0000  132.4s
  195  0.0034  0.0014  0.0004  0.0006  0.0006  -0.1324  -0.2191  0.1008  0.1380  1.1413  0.3357  0.000002  0.000020  0.0000  132.4s
  196  0.0034  0.0015  0.0005  0.0007  0.0006  -0.1324  -0.2191  0.1009  0.1377  1.0982  0.3360  0.000001  0.000014  0.0000  130.5s
  197  0.0034  0.0015  0.0014  0.0006  0.0027  -0.1324  -0.2192  0.1009  0.1381  0.9401  0.3357  0.000001  0.000009  0.0000  129.5s
  198  0.0034  0.0014  0.0004  0.0005  0.0006  -0.1324  -0.2192  0.1010  0.1379  1.0255  0.3357  0.000001  0.000005  0.0000  134.7s
  199  0.0034  0.0014  0.0005  0.0005  0.0006  -0.1324  -0.2192  0.1009  0.1376  1.2094  0.3359  0.000000  0.000002  0.0000  132.9s
  200  0.0034  0.0014  0.0005  0.0005  0.0006  -0.1324  -0.2192  0.1010  0.1376  1.2371  0.3359  0.000000  0.000001  0.0000  130.4s
