epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
   39  0.0091  1.3484  0.4960  0.3798  1.4186  -0.1317  -0.1254  0.1006  0.4270  2.2521  0.3078  0.000914  0.000914  0.7164  135.5s
   40  0.0078  1.2190  0.4697  0.3468  1.3109  -0.1316  -0.1267  0.1035  0.4279  1.9407  0.3148  0.000909  0.000909  0.7090  135.6s
   41  0.0068  1.1125  0.3910  0.2609  1.2200  -0.1316  -0.1275  0.1016  0.4285  1.9865  0.3144  0.000905  0.000905  0.7015  135.6s
   42  0.0074  1.1439  0.4026  0.3260  1.2090  -0.1311  -0.1283  0.1042  0.4311  1.9066  0.3147  0.000900  0.000900  0.6940  135.7s
   43  0.0068  1.0576  0.3350  0.2549  1.1508  -0.1318  -0.1292  0.1022  0.4286  2.0485  0.3192  0.000895  0.000895  0.6866  135.2s
   44  0.0077  1.1397  0.4262  0.2911  1.1296  -0.1317  -0.1301  0.1036  0.4273  2.0613  0.3179  0.000890  0.000890  0.6791  135.7s
   45  0.0065  0.9353  0.3294  0.2316  1.0681  -0.1317  -0.1312  0.1022  0.4273  1.7715  0.3183  0.000885  0.000885  0.6716  135.3s
   46  0.0065  0.8817  0.2903  0.2109  1.1013  -0.1318  -0.1317  0.1016  0.4258  1.8776  0.3174  0.000880  0.000880  0.6642  135.7s
   47  0.0061  0.8229  0.2577  0.1858  0.8763  -0.1318  -0.1329  0.1044  0.4249  1.6927  0.3153  0.000875  0.000875  0.6567  135.3s
   48  0.0058  0.6976  0.2153  0.1569  0.8036  -0.1318  -0.1338  0.1038  0.4251  1.7443  0.3168  0.000870  0.000870  0.6493  135.7s
   49  0.0055  0.5965  0.1694  0.1234  0.7057  -0.1318  -0.1343  0.1034  0.4245  1.6745  0.3162  0.000864  0.000864  0.6418  135.4s
   50  0.0052  0.5148  0.1447  0.1369  0.5792  -0.1318  -0.1354  0.1035  0.4239  1.8126  0.3184  0.000859  0.000859  0.6343  135.6s
   51  0.0055  0.5233  0.1516  0.1395  0.5683  -0.1318  -0.1360  0.1020  0.4228  1.9327  0.3164  0.000854  0.000854  0.6269  135.7s
   52  0.0054  0.4537  0.1331  0.1048  0.5513  -0.1318  -0.1371  0.1028  0.4229  1.8824  0.3200  0.000848  0.000848  0.6194  135.4s
   53  0.0053  0.4777  0.1344  0.1234  0.4961  -0.1318  -0.1378  0.1024  0.4219  1.9673  0.3153  0.000842  0.000842  0.6119  135.4s
   54  0.0054  0.4428  0.1958  0.1625  0.4320  -0.1318  -0.1386  0.1026  0.4213  1.6785  0.3186  0.000837  0.000837  0.6045  135.7s
   55  0.0051  0.3427  0.1285  0.0964  0.3776  -0.1318  -0.1394  0.1030  0.4209  1.5959  0.3166  0.000831  0.000831  0.5970  135.4s
   56  0.0049  0.2949  0.0961  0.0807  0.2758  -0.1316  -0.1406  0.1031  0.4204  1.8344  0.3169  0.000825  0.000825  0.5896  135.4s
   57  0.0048  0.2681  0.0817  0.0727  0.2395  -0.1318  -0.1414  0.1027  0.4199  1.8273  0.3164  0.000819  0.000819  0.5821  135.6s
   58  0.0048  0.2165  0.0809  0.0703  0.2487  -0.1318  -0.1423  0.1024  0.4187  1.7455  0.3153  0.000813  0.000813  0.5746  135.7s
   59  0.0047  0.2283  0.0674  0.0562  0.1877  -0.1318  -0.1432  0.1020  0.4173  1.9125  0.3164  0.000806  0.000806  0.5672  135.6s
   60  0.0046  0.1657  0.0607  0.0682  0.1327  -0.1319  -0.1440  0.1029  0.4173  1.8338  0.3198  0.000800  0.000800  0.5597  135.5s
   61  0.0045  0.1763  0.0534  0.0538  0.1514  -0.1319  -0.1449  0.1018  0.4151  1.8135  0.3181  0.000794  0.000794  0.5522  135.1s
   62  0.0046  0.2035  0.0798  0.0758  0.1621  -0.1318  -0.1458  0.1017  0.4155  1.6774  0.3181  0.000788  0.000788  0.5448  135.4s
   63  0.0044  0.1257  0.0623  0.0408  0.1061  -0.1319  -0.1467  0.1010  0.4157  1.6502  0.3185  0.000781  0.000781  0.5373  135.3s
   64  0.0044  0.1280  0.0501  0.0491  0.1088  -0.1318  -0.1472  0.1003  0.4163  1.6098  0.3186  0.000775  0.000775  0.5299  135.4s
   65  0.0044  0.1325  0.0576  0.0495  0.1109  -0.1319  -0.1483  0.1014  0.4146  1.7620  0.3181  0.000768  0.000768  0.5224  135.3s
   66  0.0047  0.1821  0.0715  0.0871  0.1644  -0.1318  -0.1491  0.1009  0.4142  1.9655  0.3203  0.000761  0.000761  0.5149  135.6s
   67  0.0044  0.1015  0.0399  0.0398  0.0855  -0.1319  -0.1499  0.1012  0.4133  2.1088  0.3201  0.000755  0.000755  0.5075  135.3s
   68  0.0044  0.1201  0.0701  0.0405  0.0846  -0.1319  -0.1508  0.1002  0.4115  1.8586  0.3188  0.000748  0.000748  0.5000  135.5s
   69  0.0043  0.0859  0.0459  0.0386  0.0824  -0.1318  -0.1515  0.1003  0.4113  1.8574  0.3198  0.000741  0.000741  0.4925  135.4s
   70  0.0042  0.0704  0.0430  0.0394  0.0689  -0.1319  -0.1525  0.1007  0.4109  1.3433  0.3208  0.000734  0.000734  0.4851  135.9s
   71  0.0042  0.0486  0.0485  0.0297  0.0276  -0.1318  -0.1533  0.0998  0.4094  1.4911  0.3218  0.000727  0.000727  0.4776  135.5s
   72  0.0041  0.0493  0.0220  0.0257  0.0529  -0.1319  -0.1542  0.1003  0.4080  1.6666  0.3206  0.000720  0.000720  0.4701  135.4s
   73  0.0042  0.0621  0.0385  0.0246  0.0948  -0.1318  -0.1551  0.1007  0.4068  1.6431  0.3234  0.000713  0.000713  0.4627  135.1s
   74  0.0041  0.0487  0.0298  0.0304  0.0794  -0.1319  -0.1560  0.1009  0.4073  1.6977  0.3216  0.000706  0.000706  0.4552  135.6s
   75  0.0041  0.0626  0.0290  0.0215  0.0530  -0.1319  -0.1568  0.0997  0.4043  1.9853  0.3217  0.000699  0.000699  0.4478  135.5s
   76  0.0043  0.0586  0.0241  0.0184  0.0316  -0.1319  -0.1574  0.0998  0.4033  1.5630  0.3215  0.000691  0.000691  0.4403  135.5s
   77  0.0043  0.0798  0.0369  0.0223  0.0546  -0.1319  -0.1587  0.1002  0.4023  2.0724  0.3235  0.000684  0.000684  0.4328  135.1s
   78  0.0040  0.0367  0.0236  0.0264  0.0237  -0.1319  -0.1598  0.1011  0.4021  1.3945  0.3264  0.000677  0.000677  0.4254  135.5s
   79  0.0042  0.0845  0.0306  0.0389  0.0410  -0.1319  -0.1605  0.0999  0.4018  1.8042  0.3260  0.000669  0.000669  0.4179  135.2s
   80  0.0040  0.0320  0.0227  0.0377  0.0434  -0.1318  -0.1611  0.0994  0.4004  1.4812  0.3199  0.000662  0.000662  0.4104  135.5s
   81  0.0039  0.0273  0.0152  0.0142  0.0166  -0.1319  -0.1619  0.0998  0.3985  1.6537  0.3219  0.000655  0.000655  0.4030  135.3s
   82  0.0040  0.0385  0.0207  0.0163  0.0200  -0.1318  -0.1630  0.1001  0.3982  1.7438  0.3228  0.000647  0.000647  0.3955  135.8s
   83  0.0039  0.0407  0.0173  0.0180  0.0282  -0.1319  -0.1635  0.0990  0.3968  1.4566  0.3193  0.000639  0.000639  0.3881  135.3s
   84  0.0039  0.0290  0.0201  0.0132  0.0316  -0.1319  -0.1646  0.0997  0.3957  1.6687  0.3222  0.000632  0.000632  0.3806  135.8s
   85  0.0039  0.0495  0.0139  0.0150  0.0232  -0.1319  -0.1655  0.0989  0.3949  1.5427  0.3216  0.000624  0.000624  0.3731  135.3s
   86  0.0039  0.0281  0.0130  0.0097  0.0132  -0.1319  -0.1665  0.0997  0.3929  1.3980  0.3221  0.000617  0.000617  0.3657  135.5s
   87  0.0040  0.0737  0.0120  0.0301  0.0356  -0.1318  -0.1673  0.0995  0.3916  1.5643  0.3218  0.000609  0.000609  0.3582  135.3s
   88  0.0038  0.0138  0.0076  0.0090  0.0130  -0.1319  -0.1680  0.0989  0.3894  1.3630  0.3214  0.000601  0.000601  0.3507  135.7s
   89  0.0039  0.0263  0.0103  0.0106  0.0438  -0.1319  -0.1691  0.0996  0.3868  1.5866  0.3224  0.000594  0.000594  0.3433  135.5s
   90  0.0041  0.0587  0.0531  0.0913  0.0741  -0.1319  -0.1698  0.0994  0.3870  1.2817  0.3220  0.000586  0.000586  0.3358  135.6s
   91  0.0040  0.0256  0.0215  0.0185  0.0295  -0.1318  -0.1706  0.0994  0.3854  1.2092  0.3179  0.000578  0.000578  0.3284  135.4s
   92  0.0038  0.0171  0.0133  0.0110  0.0157  -0.1320  -0.1714  0.0988  0.3828  1.5680  0.3197  0.000570  0.000570  0.3209  135.4s
   93  0.0038  0.0142  0.0125  0.0087  0.0183  -0.1319  -0.1724  0.0986  0.3801  1.2682  0.3214  0.000563  0.000563  0.3134  135.4s
   94  0.0038  0.0166  0.0095  0.0147  0.0116  -0.1320  -0.1733  0.0985  0.3766  1.2193  0.3210  0.000555  0.000555  0.3060  135.7s
   95  0.0037  0.0113  0.0065  0.0081  0.0075  -0.1320  -0.1742  0.0986  0.3737  1.3217  0.3222  0.000547  0.000547  0.2985  135.4s
   96  0.0038  0.0162  0.0113  0.0082  0.0135  -0.1320  -0.1752  0.0990  0.3718  1.4978  0.3221  0.000539  0.000539  0.2910  135.7s
   97  0.0038  0.0210  0.0095  0.0174  0.0227  -0.1319  -0.1760  0.0990  0.3700  1.1393  0.3227  0.000531  0.000531  0.2836  135.3s
