epoch  recon    ltr      case     attn     div      hit    recode   lr
   72  0.0040  0.0000  0.0000  -0.1581  0.1066  0.4618  0.0006  0.000194
   73  0.0040  0.0000  0.0000  -0.1581  0.1065  0.4611  0.0006  0.000181
   74  0.0040  0.0000  0.0000  -0.1581  0.1064  0.4607  0.0006  0.000169
   75  0.0040  0.0000  0.0000  -0.1581  0.1062  0.4603  0.0006  0.000158
   76  0.0040  0.0000  0.0000  -0.1581  0.1062  0.4606  0.0005  0.000146
   77  0.0041  0.0000  0.0000  -0.1581  0.1059  0.4608  0.0007  0.000136
   78  0.0040  0.0000  0.0000  -0.1581  0.1061  0.4609  0.0005  0.000125
   79  0.0040  0.0000  0.0000  -0.1581  0.1059  0.4611  0.0005  0.000115
   80  0.0039  0.0000  0.0000  -0.1581  0.1058  0.4609  0.0005  0.000105
   81  0.0040  0.0000  0.0000  -0.1581  0.1055  0.4603  0.0005  0.000095
   82  0.0040  0.0000  0.0000  -0.1581  0.1057  0.4608  0.0005  0.000086
   83  0.0040  0.0002  0.0000  -0.1582  0.1057  0.4595  0.0006  0.000078
   84  0.0039  0.0000  0.0000  -0.1582  0.1056  0.4593  0.0005  0.000070
   85  0.0039  0.0000  0.0000  -0.1582  0.1055  0.4594  0.0004  0.000062
   86  0.0039  0.0000  0.0000  -0.1582  0.1055  0.4594  0.0004  0.000054
   87  0.0039  0.0000  0.0000  -0.1582  0.1055  0.4598  0.0004  0.000048
   88  0.0039  0.0000  0.0000  -0.1582  0.1055  0.4593  0.0004  0.000041
   89  0.0039  0.0000  0.0000  -0.1582  0.1055  0.4593  0.0004  0.000035
   90  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4596  0.0004  0.000030
   91  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4593  0.0004  0.000024
   92  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4593  0.0004  0.000020
   93  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4594  0.0004  0.000016
   94  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4591  0.0004  0.000012
   95  0.0039  0.0000  0.0000  -0.1582  0.1054  0.4591  0.0004  0.000009
   96  0.0039  0.0000  0.0000  -0.1582  0.1053  0.4592  0.0004  0.000006
   97  0.0039  0.0000  0.0000  -0.1582  0.1053  0.4590  0.0004  0.000004
   98  0.0039  0.0000  0.0000  -0.1582  0.1053  0.4590  0.0004  0.000002
   99  0.0039  0.0000  0.0000  -0.1582  0.1053  0.4590  0.0004  0.000001
  100  0.0039  0.0000  0.0000  -0.1582  0.1053  0.4590  0.0004  0.000000
