epoch  recon    ltr      case     attn     div      hit    recode   lr
   72  0.0053  0.0018  0.0024  -0.1609  0.0886  0.4440  0.0026  0.000194
   73  0.0049  0.0001  0.0001  -0.1612  0.0887  0.4426  0.0020  0.000181
   74  0.0048  0.0001  0.0002  -0.1613  0.0875  0.4400  0.0018  0.000169
   75  0.0046  0.0001  0.0001  -0.1613  0.0869  0.4415  0.0015  0.000158
   76  0.0046  0.0001  0.0001  -0.1613  0.0861  0.4401  0.0014  0.000146
   77  0.0046  0.0001  0.0001  -0.1612  0.0851  0.4397  0.0014  0.000136
   78  0.0046  0.0001  0.0005  -0.1613  0.0852  0.4386  0.0015  0.000125
   79  0.0045  0.0001  0.0002  -0.1613  0.0846  0.4396  0.0013  0.000115
   80  0.0044  0.0001  0.0002  -0.1614  0.0846  0.4394  0.0012  0.000105
   81  0.0045  0.0001  0.0003  -0.1614  0.0844  0.4411  0.0012  0.000095
   82  0.0044  0.0001  0.0001  -0.1613  0.0837  0.4417  0.0011  0.000086
   83  0.0044  0.0002  0.0001  -0.1614  0.0838  0.4403  0.0011  0.000078
   84  0.0043  0.0000  0.0003  -0.1614  0.0835  0.4415  0.0010  0.000070
   85  0.0043  0.0001  0.0000  -0.1614  0.0829  0.4400  0.0010  0.000062
   86  0.0043  0.0001  0.0002  -0.1614  0.0829  0.4413  0.0009  0.000054
   87  0.0042  0.0000  0.0000  -0.1614  0.0828  0.4423  0.0009  0.000048
   88  0.0042  0.0000  0.0000  -0.1614  0.0825  0.4421  0.0008  0.000041
   89  0.0042  0.0001  0.0001  -0.1614  0.0824  0.4425  0.0009  0.000035
   90  0.0042  0.0000  0.0000  -0.1615  0.0824  0.4429  0.0009  0.000030
   91  0.0042  0.0000  0.0000  -0.1615  0.0823  0.4443  0.0008  0.000024
   92  0.0042  0.0000  0.0000  -0.1615  0.0822  0.4444  0.0008  0.000020
   93  0.0042  0.0000  0.0000  -0.1615  0.0821  0.4449  0.0008  0.000016
   94  0.0042  0.0000  0.0000  -0.1615  0.0820  0.4447  0.0008  0.000012
   95  0.0042  0.0000  0.0000  -0.1615  0.0819  0.4450  0.0008  0.000009
   96  0.0042  0.0000  0.0000  -0.1615  0.0820  0.4451  0.0008  0.000006
   97  0.0042  0.0000  0.0000  -0.1615  0.0819  0.4452  0.0008  0.000004
   98  0.0042  0.0000  0.0000  -0.1615  0.0819  0.4450  0.0008  0.000002
   99  0.0042  0.0000  0.0000  -0.1615  0.0819  0.4450  0.0008  0.000001
  100  0.0042  0.0000  0.0000  -0.1615  0.0819  0.4450  0.0008  0.000000
