epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
  151  0.0041  0.1011  0.2400  -1.8460  0.0713  0.3954  0.0008   0.0032  0.4536  0.3134  3.5335  0.4074  0.6430  0.000146  0.000146  0.1000  76.1s
  152  0.0041  0.1001  0.2391  -1.8461  0.0714  0.3951  0.0007   0.0048  0.4525  0.3156  3.4974  0.4215  0.6392  0.000141  0.000141  0.1000  74.7s
  153  0.0041  0.1010  0.2428  -1.8459  0.0712  0.3946  0.0008   0.0036  0.4517  0.3188  3.5953  0.4274  0.6317  0.000136  0.000136  0.1000  74.9s
  154  0.0043  0.1047  0.2460  -1.8460  0.0714  0.3952  0.0010   0.0036  0.4549  0.3047  3.5131  0.4181  0.6336  0.000130  0.000130  0.1000  75.3s
  155  0.0045  0.1127  0.2450  -1.8458  0.0715  0.3945  0.0014   0.0098  0.4488  0.3093  3.8010  0.3974  0.6379  0.000125  0.000125  0.1000  75.7s
  156  0.0043  0.0980  0.2444  -1.8459  0.0714  0.3950  0.0010   0.0077  0.4532  0.3291  3.5432  0.4569  0.6410  0.000120  0.000120  0.1000  76.9s
  157  0.0042  0.0970  0.2423  -1.8460  0.0714  0.3951  0.0009   0.0073  0.4526  0.3340  3.4469  0.4747  0.6462  0.000115  0.000115  0.1000  75.8s
  158  0.0041  0.0991  0.2401  -1.8459  0.0713  0.3942  0.0008   0.0061  0.4559  0.3638  3.5619  0.4517  0.6535  0.000110  0.000110  0.1000  75.1s
  159  0.0043  0.1078  0.2433  -1.8464  0.0719  0.3953  0.0011   0.0042  0.4559  0.3844  3.7965  0.4182  0.6307  0.000105  0.000105  0.1000  76.0s
  160  0.0042  0.1083  0.2461  -1.8460  0.0714  0.3949  0.0008   0.0036  0.4571  0.4136  3.4249  0.4524  0.6258  0.000100  0.000100  0.1000  76.3s
  161  0.0041  0.0968  0.2469  -1.8461  0.0714  0.3937  0.0007   0.0027  0.4526  0.3919  3.2685  0.4458  0.6312  0.000095  0.000095  0.1000  75.3s
  162  0.0041  0.0977  0.2424  -1.8459  0.0712  0.3936  0.0008   0.0028  0.4512  0.3708  3.2113  0.4717  0.6312  0.000091  0.000091  0.1000  75.0s
  163  0.0040  0.0935  0.2426  -1.8460  0.0713  0.3938  0.0007   0.0020  0.4470  0.3504  3.0258  0.5024  0.6494  0.000086  0.000086  0.1000  76.8s
  164  0.0040  0.0907  0.2431  -1.8461  0.0713  0.3938  0.0006   0.0023  0.4413  0.3356  2.8366  0.5141  0.6621  0.000082  0.000082  0.1000  75.7s
  165  0.0040  0.0900  0.2437  -1.8461  0.0713  0.3941  0.0006   0.0018  0.4417  0.3315  2.8693  0.5233  0.6594  0.000078  0.000078  0.1000  74.9s
  166  0.0040  0.0889  0.2427  -1.8461  0.0713  0.3942  0.0006   0.0017  0.4398  0.3447  2.8148  0.5398  0.6559  0.000074  0.000074  0.1000  77.0s
  167  0.0040  0.0879  0.2429  -1.8461  0.0713  0.3943  0.0006   0.0017  0.4389  0.3436  2.7614  0.5420  0.6607  0.000070  0.000070  0.1000  74.9s
  168  0.0040  0.0876  0.2425  -1.8461  0.0713  0.3940  0.0006   0.0014  0.4397  0.3367  2.6395  0.5449  0.6627  0.000066  0.000066  0.1000  75.5s
  169  0.0040  0.0874  0.2420  -1.8461  0.0713  0.3939  0.0006   0.0016  0.4388  0.3419  2.5160  0.5587  0.6726  0.000062  0.000062  0.1000  76.7s
  170  0.0040  0.0872  0.2423  -1.8461  0.0713  0.3942  0.0006   0.0013  0.4396  0.3547  2.4520  0.5591  0.6716  0.000058  0.000058  0.1000  75.3s
  171  0.0040  0.0868  0.2415  -1.8461  0.0713  0.3939  0.0005   0.0014  0.4410  0.3578  2.3289  0.5677  0.6740  0.000054  0.000054  0.1000  75.8s
  172  0.0040  0.0866  0.2413  -1.8461  0.0713  0.3938  0.0005   0.0016  0.4403  0.3577  2.2469  0.5758  0.6647  0.000051  0.000051  0.1000  76.4s
  173  0.0039  0.0859  0.2406  -1.8461  0.0713  0.3938  0.0005   0.0014  0.4424  0.3649  2.1481  0.5826  0.6688  0.000048  0.000048  0.1000  74.7s
  174  0.0040  0.0860  0.2413  -1.8461  0.0713  0.3941  0.0005   0.0029  0.4408  0.3661  2.0859  0.5840  0.6686  0.000044  0.000044  0.1000  75.3s
  175  0.0040  0.0851  0.2436  -1.8461  0.0713  0.3940  0.0005   0.0028  0.4394  0.3702  2.0706  0.6003  0.6681  0.000041  0.000041  0.1000  75.4s
  176  0.0040  0.0857  0.2453  -1.8462  0.0713  0.3939  0.0005   0.0026  0.4367  0.3659  2.0111  0.6045  0.6802  0.000038  0.000038  0.1000  75.0s
  177  0.0039  0.0857  0.2447  -1.8461  0.0713  0.3941  0.0005   0.0022  0.4367  0.3670  2.0614  0.6031  0.6856  0.000035  0.000035  0.1000  75.0s
  178  0.0039  0.0862  0.2446  -1.8461  0.0712  0.3937  0.0005   0.0021  0.4383  0.3671  1.9881  0.6070  0.6923  0.000032  0.000032  0.1000  75.4s
  179  0.0039  0.0857  0.2441  -1.8461  0.0712  0.3939  0.0005   0.0017  0.4384  0.3654  1.9825  0.6130  0.7008  0.000030  0.000030  0.1000  76.5s
  180  0.0039  0.0856  0.2438  -1.8461  0.0713  0.3936  0.0005   0.0017  0.4388  0.3716  1.9931  0.6107  0.6950  0.000027  0.000027  0.1000  75.5s
  181  0.0039  0.0853  0.2439  -1.8461  0.0712  0.3937  0.0005   0.0016  0.4384  0.3644  1.9474  0.6176  0.6927  0.000024  0.000024  0.1000  75.4s
  182  0.0039  0.0850  0.2441  -1.8461  0.0712  0.3939  0.0005   0.0014  0.4380  0.3610  1.9200  0.6247  0.6965  0.000022  0.000022  0.1000  75.4s
  183  0.0039  0.0848  0.2435  -1.8461  0.0712  0.3939  0.0005   0.0018  0.4371  0.3642  1.8924  0.6329  0.7022  0.000020  0.000020  0.1000  74.6s
  184  0.0039  0.0843  0.2429  -1.8461  0.0713  0.3939  0.0005   0.0014  0.4380  0.3696  1.8938  0.6302  0.7060  0.000018  0.000018  0.1000  74.8s
  185  0.0039  0.0845  0.2428  -1.8461  0.0713  0.3939  0.0005   0.0014  0.4380  0.3674  1.8734  0.6367  0.7106  0.000016  0.000016  0.1000  76.1s
  186  0.0039  0.0842  0.2427  -1.8461  0.0713  0.3937  0.0005   0.0013  0.4377  0.3663  1.8488  0.6453  0.7163  0.000014  0.000014  0.1000  75.4s
  187  0.0039  0.0843  0.2425  -1.8461  0.0712  0.3937  0.0005   0.0013  0.4380  0.3664  1.8553  0.6456  0.7164  0.000012  0.000012  0.1000  77.7s
  188  0.0039  0.0842  0.2427  -1.8461  0.0713  0.3938  0.0005   0.0011  0.4382  0.3685  1.8506  0.6435  0.7129  0.000010  0.000010  0.1000  75.7s
  189  0.0039  0.0843  0.2426  -1.8461  0.0713  0.3939  0.0005   0.0016  0.4382  0.3695  1.8260  0.6448  0.7085  0.000009  0.000009  0.1000  75.6s
  190  0.0039  0.0843  0.2425  -1.8461  0.0713  0.3939  0.0005   0.0015  0.4386  0.3709  1.8238  0.6477  0.7104  0.000007  0.000007  0.1000  75.1s
  191  0.0039  0.0840  0.2426  -1.8461  0.0712  0.3939  0.0005   0.0014  0.4386  0.3713  1.8349  0.6499  0.7074  0.000006  0.000006  0.1000  78.0s
  192  0.0039  0.0841  0.2424  -1.8461  0.0713  0.3938  0.0005   0.0014  0.4384  0.3713  1.8251  0.6524  0.7056  0.000005  0.000005  0.1000  75.6s
  193  0.0039  0.0839  0.2425  -1.8461  0.0712  0.3939  0.0005   0.0015  0.4384  0.3722  1.8123  0.6532  0.7073  0.000004  0.000004  0.1000  78.7s
  194  0.0039  0.0841  0.2423  -1.8462  0.0713  0.3939  0.0005   0.0013  0.4384  0.3720  1.8044  0.6566  0.7135  0.000003  0.000003  0.1000  79.7s
  195  0.0039  0.0840  0.2424  -1.8462  0.0713  0.3938  0.0005   0.0013  0.4384  0.3713  1.8104  0.6538  0.7106  0.000002  0.000002  0.1000  81.4s
  196  0.0039  0.0841  0.2423  -1.8461  0.0712  0.3939  0.0005   0.0013  0.4384  0.3714  1.8018  0.6565  0.7110  0.000002  0.000002  0.1000  81.1s
  197  0.0039  0.0841  0.2423  -1.8461  0.0712  0.3940  0.0005   0.0012  0.4384  0.3712  1.7903  0.6571  0.7110  0.000001  0.000001  0.1000  75.6s
  198  0.0039  0.0839  0.2423  -1.8461  0.0712  0.3940  0.0005   0.0012  0.4383  0.3712  1.7948  0.6571  0.7097  0.000001  0.000001  0.1000  75.3s
  199  0.0039  0.0840  0.2423  -1.8461  0.0712  0.3940  0.0005   0.0012  0.4383  0.3713  1.7860  0.6573  0.7103  0.000000  0.000000  0.1000  77.3s
  200  0.0039  0.0840  0.2423  -1.8461  0.0712  0.3940  0.0005   0.0012  0.4383  0.3712  1.7844  0.6591  0.7088  0.000000  0.000000  0.1000  77.1s
