epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
   35  0.0066  0.1910  0.2624  -1.8440  0.0722  0.3917  0.0047   0.0203  0.4116  0.2022  3.0079  0.4973  0.7112  0.000930  0.000930  0.7463  74.7s
   36  0.0062  0.1420  0.2631  -1.8444  0.0719  0.3944  0.0040   0.0133  0.4218  0.1868  2.7863  0.5135  0.7440  0.000926  0.000926  0.7388  74.9s
   37  0.0071  0.2300  0.2737  -1.8434  0.0719  0.3947  0.0054   0.0141  0.4210  0.1505  2.8156  0.4484  0.7295  0.000922  0.000922  0.7313  74.5s
   38  0.0075  0.2557  0.2778  -1.8425  0.0727  0.3928  0.0059   0.0366  0.4161  0.1639  3.2372  0.4233  0.7146  0.000918  0.000918  0.7239  76.2s
   39  0.0057  0.1276  0.2478  -1.8446  0.0716  0.3936  0.0034   0.0122  0.4090  0.1757  2.7049  0.5254  0.7340  0.000914  0.000914  0.7164  76.1s
   40  0.0059  0.1558  0.2642  -1.8441  0.0719  0.3919  0.0037   0.0206  0.3965  0.1749  2.4342  0.5487  0.7448  0.000909  0.000909  0.7090  77.2s
   41  0.0069  0.2174  0.3007  -1.8437  0.0725  0.3933  0.0051   0.0148  0.3911  0.1643  3.0787  0.4528  0.7064  0.000905  0.000905  0.7015  74.2s
   42  0.0064  0.1965  0.2664  -1.8444  0.0720  0.3936  0.0044   0.0113  0.4016  0.1714  3.1319  0.4406  0.7316  0.000900  0.000900  0.6940  74.8s
   43  0.0068  0.2246  0.2799  -1.8437  0.0725  0.3931  0.0049   0.0243  0.4038  0.1684  3.6943  0.4033  0.6834  0.000895  0.000895  0.6866  77.0s
   44  0.0058  0.1543  0.2785  -1.8443  0.0715  0.3957  0.0035   0.0123  0.4037  0.1607  3.6482  0.4281  0.6990  0.000890  0.000890  0.6791  77.3s
   45  0.0069  0.2876  0.3447  -1.8437  0.0720  0.3905  0.0049   0.0153  0.3914  0.1560  3.5892  0.4181  0.6709  0.000885  0.000885  0.6716  76.7s
   46  0.0073  0.2889  0.3335  -1.8431  0.0723  0.3922  0.0057   0.0249  0.3815  0.1445  4.1749  0.3200  0.6696  0.000880  0.000880  0.6642  74.8s
   47  0.0060  0.1621  0.3174  -1.8446  0.0718  0.3950  0.0038   0.0112  0.3730  0.1457  2.7649  0.4837  0.6612  0.000875  0.000875  0.6567  77.3s
   48  0.0059  0.1597  0.3049  -1.8446  0.0716  0.3944  0.0036   0.0095  0.3783  0.1430  2.5085  0.5383  0.6908  0.000870  0.000870  0.6493  78.9s
   49  0.0056  0.1609  0.3053  -1.8444  0.0713  0.3928  0.0031   0.0089  0.3889  0.1431  2.6638  0.5154  0.7158  0.000864  0.000864  0.6418  75.5s
   50  0.0075  0.3660  0.3322  -1.8431  0.0723  0.3926  0.0061   0.0111  0.3943  0.1393  4.0238  0.3665  0.6344  0.000859  0.000859  0.6343  75.9s
   51  0.0057  0.1919  0.3005  -1.8441  0.0714  0.3946  0.0034   0.0183  0.3915  0.1443  2.8670  0.5029  0.6722  0.000854  0.000854  0.6269  76.1s
   52  0.0056  0.1653  0.2988  -1.8445  0.0715  0.3935  0.0031   0.0097  0.3920  0.1632  3.7214  0.4419  0.6606  0.000848  0.000848  0.6194  76.4s
   53  0.0061  0.1912  0.3136  -1.8450  0.0725  0.3923  0.0039   0.0078  0.3923  0.1800  3.8581  0.4324  0.6084  0.000842  0.000842  0.6119  75.0s
   54  0.0065  0.2251  0.3220  -1.8447  0.0722  0.3935  0.0044   0.0083  0.4001  0.1667  3.7159  0.4418  0.6339  0.000837  0.000837  0.6045  76.8s
   55  0.0078  0.3414  0.3409  -1.8411  0.0731  0.3880  0.0064   0.0422  0.3943  0.1618  3.8621  0.3872  0.6661  0.000831  0.000831  0.5970  77.1s
   56  0.0066  0.2648  0.3150  -1.8435  0.0720  0.3930  0.0048   0.0221  0.4146  0.1774  3.1908  0.4286  0.6897  0.000825  0.000825  0.5896  77.5s
